ip,score,requests,max_rps,unique_paths,reason_tags
43.247.70.12,122.0,33523,49,820,"[""high-volume"", ""scan-probe"", ""burst"", ""large-response"", ""sensitive-path"", ""auth-burst"", ""server-error-touch"", ""bulk-enumeration""]"
58.60.110.201,119.2,59428,49,839,"[""high-volume"", ""scan-probe"", ""burst"", ""large-response"", ""sensitive-path"", ""auth-burst"", ""server-error-touch"", ""bulk-enumeration""]"
120.234.61.168,114.4,21851,173,879,"[""high-volume"", ""scan-probe"", ""burst"", ""sensitive-path"", ""auth-burst"", ""large-response"", ""server-error-touch"", ""bulk-enumeration""]"
112.97.203.114,113.2,16314,198,10265,"[""high-volume"", ""scan-probe"", ""burst"", ""sensitive-path"", ""auth-burst"", ""server-error-touch"", ""bulk-enumeration"", ""large-response""]"
120.234.61.169,113.0,6660,79,1642,"[""high-volume"", ""scan-probe"", ""bulk-enumeration"", ""burst"", ""sensitive-path"", ""auth-burst"", ""server-error-touch""]"
219.133.80.155,113.0,5805,61,1288,"[""high-volume"", ""scan-probe"", ""bulk-enumeration"", ""burst"", ""sensitive-path"", ""auth-burst"", ""server-error-touch""]"
223.104.79.91,100.8,6239,27,248,"[""high-volume"", ""scan-probe"", ""burst"", ""sensitive-path"", ""large-response"", ""auth-burst""]"
219.133.80.154,96.39,1773,32,836,"[""high-volume"", ""scan-probe"", ""burst"", ""sensitive-path"", ""auth-burst"", ""server-error-touch"", ""large-response""]"
223.104.68.197,96.25,1269,29,76,"[""high-volume"", ""burst"", ""scan-probe"", ""large-response"", ""sensitive-path"", ""auth-burst""]"
223.104.79.99,96.13,2604,28,186,"[""high-volume"", ""scan-probe"", ""burst"", ""sensitive-path"", ""auth-burst"", ""large-response"", ""bulk-enumeration""]"
123.207.100.105,95.77,834,22,105,"[""high-volume"", ""scan-probe"", ""burst"", ""large-response"", ""sensitive-path"", ""server-error-touch""]"
223.104.79.66,95.54,1388,30,243,"[""high-volume"", ""scan-probe"", ""burst"", ""sensitive-path"", ""bulk-enumeration"", ""auth-burst"", ""large-response""]"
