uri_path,score,requests,distinct_ips,max_rps,max_body_bytes,reason_tags
/nh_api/Approval/Apply/GetApplyRecordContextbyApplyId,67.0,19533,20,173,29053720,"[""high-frequency"", ""burst"", ""multi-source"", ""large-response-spread"", ""sensitive-uri""]"
/ih/appletquery/api/register/GetInquirePic,56.0,10034,818,22,6246037,"[""high-frequency"", ""burst"", ""multi-source"", ""large-response-spread""]"
/favicon.ico,49.0,3704,208,32,1163,"[""high-frequency"", ""burst"", ""multi-source""]"
/ih/appletQuery/api/Inquiry/GetInquiryRecord,49.0,3257,210,80,14343,"[""high-frequency"", ""burst"", ""multi-source""]"
/ih/appletQuery/api/Message/GetUserMessage,48.5,168523,8401,27,49198,"[""high-frequency"", ""burst"", ""multi-source""]"
/nh_api/Approval/sys/GetSysConfig,47.0,2782,4,37,768,"[""high-frequency"", ""burst"", ""sensitive-uri""]"
/api-docs,46.26,404,6,20,607,"[""high-frequency"", ""burst"", ""sensitive-uri"", ""multi-source""]"
/actuator,45.8,408,6,19,607,"[""high-frequency"", ""burst"", ""sensitive-uri"", ""multi-source""]"
/swagger-ui/index.html,45.76,404,6,19,583,"[""high-frequency"", ""burst"", ""sensitive-uri"", ""multi-source""]"
/ih/ihapp/api/dic/ItemOptions,45.0,114187,8387,20,26247,"[""high-frequency"", ""burst"", ""multi-source""]"
/ih/appletQuery/api/Report/GetMZJYReportList,45.0,18463,2607,4,144137,"[""high-frequency"", ""multi-source"", ""large-response-spread""]"
/,45.0,13837,1470,4,14193411,"[""high-frequency"", ""multi-source"", ""large-response-spread""]"
/ih/appletQuery/api/Inquiry/GetInquiryRecords,45.0,10003,1349,4,51164,"[""high-frequency"", ""multi-source"", ""large-response-spread""]"
/ih/ihapp/api/user/detail,45.0,9778,1400,3,118064,"[""high-frequency"", ""multi-source"", ""large-response-spread""]"
/ih/appletQuery/api/Prescription/GetAllPresTmp,45.0,3641,231,3,271417,"[""high-frequency"", ""multi-source"", ""large-response-spread""]"
/ih/appletQuery/api/AttendingDoctor/GetDoctor,45.0,2321,312,2,248975,"[""high-frequency"", ""multi-source"", ""large-response-spread""]"
/ih/applet/api/HISNetApi/HistoricalMedicalRecords,45.0,907,228,2,54231,"[""high-frequency"", ""multi-source"", ""large-response-spread""]"
/ih/appletQuery/api/MedicalHistory/GetMedicalHistoryList,45.0,904,225,2,208831,"[""high-frequency"", ""multi-source"", ""large-response-spread""]"
/manage,44.43,401,5,18,607,"[""high-frequency"", ""burst"", ""sensitive-uri"", ""multi-source""]"
/v2/api-docs,44.33,412,6,16,607,"[""high-frequency"", ""burst"", ""sensitive-uri"", ""multi-source""]"
/ih/applet/api/Auth/SignedLogin,43.0,16210,8302,3,16365,"[""high-frequency"", ""multi-source"", ""sensitive-uri""]"
/im/IHFile/Applet/patientClient/login_block_01.png,43.0,9236,6700,2,8741,"[""high-frequency"", ""multi-source"", ""sensitive-uri""]"
/im/IHFile/Applet/patientClient/login_arrow_01.png,43.0,9119,6650,2,397,"[""high-frequency"", ""multi-source"", ""sensitive-uri""]"
/im/IHFile/Applet/patientClient/login_bg.png,43.0,7973,6245,3,31942,"[""high-frequency"", ""multi-source"", ""sensitive-uri""]"
